current density,FE
32.929293,0.310101
32.929293,0.318182
32.929293,0.326263
32.929293,0.334343
32.929293,0.342424
32.929293,0.350505
32.929293,0.358586
32.929293,0.366667
32.929293,0.374747
32.929293,0.382828
32.929293,0.390909
32.929293,0.398990
32.929293,0.407071
32.929293,0.415152
32.929293,0.423232
32.929293,0.431313
32.929293,0.439394
32.929293,0.447475
32.929293,0.455556
32.929293,0.463636
32.929293,0.471717
32.929293,0.479798
32.929293,0.487879
32.929293,0.495960
32.929293,0.504040
32.929293,0.512121
32.929293,0.520202
32.929293,0.528283
32.929293,0.536364
32.929293,0.544444
32.929293,0.552525
32.929293,0.560606
32.929293,0.568687
32.929293,0.576768
32.929293,0.584848
32.929293,0.592929
32.929293,0.601010
32.929293,0.609091
32.929293,0.617172
32.929293,0.625253
32.929293,0.633333
32.929293,0.641414
32.929293,0.649495
32.929293,0.657576
32.929293,0.665657
32.929293,0.673737
32.929293,0.681818
32.929293,0.689899
32.929293,0.697980
32.929293,0.706061
32.929293,0.714141
32.929293,0.722222
32.929293,0.730303
32.929293,0.738384
32.929293,0.746465
32.929293,0.754545
32.929293,0.762626
32.929293,0.770707
32.929293,0.778788
32.929293,0.786869
32.929293,0.794949
32.929293,0.803030
32.929293,0.811111
32.929293,0.819192
32.929293,0.827273
32.929293,0.835354
32.929293,0.843434
32.929293,0.851515
32.929293,0.859596
32.929293,0.867677
32.929293,0.875758
32.929293,0.883838
32.929293,0.891919
32.929293,0.900000
36.919192,0.100000
36.919192,0.108081
36.919192,0.116162
36.919192,0.124242
36.919192,0.132323
36.919192,0.140404
36.919192,0.148485
36.919192,0.156566
36.919192,0.164646
36.919192,0.172727
36.919192,0.180808
36.919192,0.188889
36.919192,0.196970
36.919192,0.205051
36.919192,0.213131
36.919192,0.221212
36.919192,0.229293
36.919192,0.237374
36.919192,0.245455
36.919192,0.253535
36.919192,0.261616
36.919192,0.269697
36.919192,0.277778
36.919192,0.285859
36.919192,0.293939
36.919192,0.302020
36.919192,0.310101
36.919192,0.318182
36.919192,0.326263
36.919192,0.334343
36.919192,0.342424
36.919192,0.350505
36.919192,0.358586
36.919192,0.366667
36.919192,0.374747
36.919192,0.382828
36.919192,0.390909
36.919192,0.398990
36.919192,0.407071
36.919192,0.415152
36.919192,0.423232
36.919192,0.431313
36.919192,0.439394
36.919192,0.447475
36.919192,0.455556
36.919192,0.463636
36.919192,0.471717
36.919192,0.479798
36.919192,0.487879
36.919192,0.495960
36.919192,0.504040
36.919192,0.512121
36.919192,0.520202
36.919192,0.528283
36.919192,0.536364
36.919192,0.544444
36.919192,0.552525
36.919192,0.560606
36.919192,0.568687
36.919192,0.576768
36.919192,0.584848
36.919192,0.592929
36.919192,0.601010
36.919192,0.609091
36.919192,0.617172
36.919192,0.625253
36.919192,0.633333
36.919192,0.641414
36.919192,0.649495
36.919192,0.657576
36.919192,0.665657
36.919192,0.673737
36.919192,0.681818
36.919192,0.689899
36.919192,0.697980
36.919192,0.706061
36.919192,0.714141
36.919192,0.722222
36.919192,0.730303
36.919192,0.738384
36.919192,0.746465
36.919192,0.754545
36.919192,0.762626
36.919192,0.770707
